,time,city_name,temp,pressure,humidity,clouds,wind_speed,weather description
0,2021-01-09 00:00:00,THU DAU MOT,297.15,1011,69,20,1.54,few clouds
1,2021-01-09 01:00:00,THU DAU MOT,298.15,1012,65,96,1.54,overcast clouds
2,2021-01-09 02:00:00,THU DAU MOT,299.15,1012,65,20,1.03,few clouds
3,2021-01-09 03:00:00,THU DAU MOT,301.15,1012,57,20,2.57,few clouds
4,2021-01-09 04:00:00,THU DAU MOT,302.15,1011,51,20,1.54,few clouds
5,2021-01-09 05:00:00,THU DAU MOT,303.15,1010,48,20,2.06,few clouds
6,2021-01-09 06:00:00,THU DAU MOT,305.15,1009,40,20,2.57,few clouds
7,2021-01-09 07:00:00,THU DAU MOT,304.15,1008,40,20,1.54,few clouds
8,2021-01-09 08:00:00,THU DAU MOT,305.15,1007,37,40,1.54,scattered clouds
9,2021-01-09 09:00:00,THU DAU MOT,305.15,1007,37,40,1.54,scattered clouds
10,2021-01-09 10:00:00,THU DAU MOT,304.15,1007,42,40,0.51,scattered clouds
11,2021-01-09 11:00:00,THU DAU MOT,301.15,1008,65,40,4.12,scattered clouds
12,2021-01-09 12:00:00,THU DAU MOT,301.15,1009,65,40,2.06,scattered clouds
13,2021-01-09 13:00:00,THU DAU MOT,300.15,1010,65,40,2.06,scattered clouds
14,2021-01-09 14:00:00,THU DAU MOT,299.15,1010,73,40,1.54,scattered clouds
15,2021-01-09 15:00:00,THU DAU MOT,299.15,1011,73,40,1.54,scattered clouds
16,2021-01-09 16:00:00,THU DAU MOT,298.15,1010,61,40,3.09,scattered clouds
17,2021-01-09 17:00:00,THU DAU MOT,297.15,1010,64,40,2.57,scattered clouds
18,2021-01-09 18:00:00,THU DAU MOT,297.15,1010,64,40,2.06,scattered clouds
19,2021-01-09 19:00:00,THU DAU MOT,296.15,1009,73,40,2.06,scattered clouds
20,2021-01-09 20:00:00,THU DAU MOT,296.15,1009,73,40,1.03,scattered clouds
21,2021-01-09 21:00:00,THU DAU MOT,296.15,1009,73,40,1.54,scattered clouds
22,2021-01-09 22:00:00,THU DAU MOT,295.15,1009,78,40,2.06,scattered clouds
23,2021-01-09 23:00:00,THU DAU MOT,295.15,1010,78,75,1.03,broken clouds
24,2021-01-10 00:00:00,THU DAU MOT,295.15,1011,78,40,1.03,scattered clouds
25,2021-01-10 01:00:00,THU DAU MOT,297.15,1012,73,20,1.03,few clouds
26,2021-01-10 02:00:00,THU DAU MOT,299.15,1012,65,20,1.03,few clouds
27,2021-01-10 03:00:00,THU DAU MOT,300.15,1012,61,20,1.03,few clouds
28,2021-01-10 04:00:00,THU DAU MOT,301.15,1012,57,20,1.54,few clouds
29,2021-01-10 05:00:00,THU DAU MOT,302.15,1011,54,40,2.57,scattered clouds
30,2021-01-10 06:00:00,THU DAU MOT,302.15,1010,54,40,3.09,scattered clouds
31,2021-01-10 07:00:00,THU DAU MOT,303.15,1008,51,40,3.09,scattered clouds
32,2021-01-10 08:00:00,THU DAU MOT,303.15,1008,48,40,2.06,scattered clouds
33,2021-01-10 09:00:00,THU DAU MOT,303.15,1008,48,20,1.03,few clouds
34,2021-01-10 10:00:00,THU DAU MOT,302.15,1008,58,20,2.06,few clouds
35,2021-01-10 11:00:00,THU DAU MOT,301.15,1009,61,20,2.06,few clouds
36,2021-01-10 12:00:00,THU DAU MOT,300.15,1010,65,20,1.03,few clouds
37,2021-01-10 13:00:00,THU DAU MOT,300.15,1010,74,20,3.09,few clouds
38,2021-01-10 14:00:00,THU DAU MOT,299.15,1011,73,20,1.03,few clouds
39,2021-01-10 15:00:00,THU DAU MOT,299.15,1011,78,20,1.54,few clouds
40,2021-01-10 16:00:00,THU DAU MOT,299.15,1011,61,20,2.06,few clouds
41,2021-01-10 17:00:00,THU DAU MOT,297.15,1011,78,20,0.51,few clouds
42,2021-01-10 18:00:00,THU DAU MOT,297.15,1010,73,20,1.54,few clouds
43,2021-01-10 19:00:00,THU DAU MOT,296.15,1009,78,40,1.03,scattered clouds
44,2021-01-10 20:00:00,THU DAU MOT,296.15,1009,78,40,0.51,scattered clouds
45,2021-01-10 21:00:00,THU DAU MOT,295.15,1009,83,40,1.54,scattered clouds
46,2021-01-10 22:00:00,THU DAU MOT,295.15,1009,83,40,2.57,scattered clouds
47,2021-01-10 23:00:00,THU DAU MOT,295.15,1010,78,40,1.03,scattered clouds
48,2021-01-11 00:00:00,THU DAU MOT,295.15,1011,78,20,2.06,few clouds
49,2021-01-11 01:00:00,THU DAU MOT,296.15,1013,73,20,1.54,few clouds
50,2021-01-11 02:00:00,THU DAU MOT,299.15,1013,61,20,1.54,few clouds
51,2021-01-11 03:00:00,THU DAU MOT,300.15,1013,57,20,1.54,few clouds
52,2021-01-11 04:00:00,THU DAU MOT,302.15,1012,51,20,2.06,few clouds
53,2021-01-11 05:00:00,THU DAU MOT,303.15,1011,48,20,2.06,few clouds
54,2021-01-11 06:00:00,THU DAU MOT,303.15,1010,42,40,2.06,scattered clouds
55,2021-01-11 07:00:00,THU DAU MOT,304.15,1009,40,40,2.06,scattered clouds
56,2021-01-11 08:00:00,THU DAU MOT,305.15,1008,37,75,2.57,broken clouds
57,2021-01-11 09:00:00,THU DAU MOT,304.15,1009,45,40,2.57,scattered clouds
58,2021-01-11 10:00:00,THU DAU MOT,304.15,1009,45,40,2.57,scattered clouds
59,2021-01-11 11:00:00,THU DAU MOT,302.15,1010,51,40,2.57,scattered clouds
60,2021-01-11 12:00:00,THU DAU MOT,300.15,1011,74,40,4.63,scattered clouds
61,2021-01-11 13:00:00,THU DAU MOT,300.15,1012,65,40,2.57,scattered clouds
62,2021-01-11 14:00:00,THU DAU MOT,300.15,1013,50,40,1.54,scattered clouds
63,2021-01-11 15:00:00,THU DAU MOT,299.15,1012,53,40,2.57,scattered clouds
64,2021-01-11 16:00:00,THU DAU MOT,298.15,1012,61,20,2.06,few clouds
65,2021-01-11 17:00:00,THU DAU MOT,297.15,1012,64,20,2.06,few clouds
66,2021-01-11 18:00:00,THU DAU MOT,296.15,1011,68,20,2.06,few clouds
67,2021-01-11 19:00:00,THU DAU MOT,296.15,1011,64,40,2.57,scattered clouds
68,2021-01-11 20:00:00,THU DAU MOT,295.15,1011,68,40,2.57,scattered clouds
69,2021-01-11 21:00:00,THU DAU MOT,295.15,1011,68,40,2.06,scattered clouds
70,2021-01-11 22:00:00,THU DAU MOT,294.15,1011,73,20,2.06,few clouds
71,2021-01-11 23:00:00,THU DAU MOT,294.15,1012,73,20,2.57,few clouds
72,2021-01-12 00:00:00,THU DAU MOT,294.15,1013,73,20,2.57,few clouds
73,2021-01-12 01:00:00,THU DAU MOT,296.15,1013,60,20,3.6,few clouds
74,2021-01-12 02:00:00,THU DAU MOT,297.15,1014,57,20,3.6,few clouds
75,2021-01-12 03:00:00,THU DAU MOT,299.15,1013,50,20,3.09,few clouds
76,2021-01-12 04:00:00,THU DAU MOT,301.15,1012,44,20,4.63,few clouds
77,2021-01-12 05:00:00,THU DAU MOT,302.15,1011,42,20,3.09,few clouds
78,2021-01-12 06:00:00,THU DAU MOT,303.15,1010,37,20,2.57,few clouds
79,2021-01-12 07:00:00,THU DAU MOT,302.15,1009,39,40,3.09,scattered clouds
80,2021-01-12 08:00:00,THU DAU MOT,304.15,1009,35,40,2.06,scattered clouds
81,2021-01-12 09:00:00,THU DAU MOT,302.15,1009,39,40,3.6,scattered clouds
82,2021-01-12 10:00:00,THU DAU MOT,302.15,1009,39,20,1.54,few clouds
83,2021-01-12 11:00:00,THU DAU MOT,300.15,1010,44,20,4.12,few clouds
84,2021-01-12 12:00:00,THU DAU MOT,299.15,1011,47,20,2.06,few clouds
85,2021-01-12 13:00:00,THU DAU MOT,299.15,1012,47,20,2.06,few clouds
86,2021-01-12 14:00:00,THU DAU MOT,298.15,1012,50,20,3.6,few clouds
87,2021-01-12 15:00:00,THU DAU MOT,296.15,1012,56,20,3.6,few clouds
88,2021-01-12 16:00:00,THU DAU MOT,296.15,1012,56,40,3.6,scattered clouds
89,2021-01-12 17:00:00,THU DAU MOT,295.15,1012,60,40,2.57,scattered clouds
90,2021-01-12 18:00:00,THU DAU MOT,294.15,1011,64,20,1.54,few clouds
91,2021-01-12 19:00:00,THU DAU MOT,293.15,1011,68,20,2.06,few clouds
92,2021-01-12 20:00:00,THU DAU MOT,292.15,1011,77,20,1.54,few clouds
93,2021-01-12 21:00:00,THU DAU MOT,292.15,1011,77,20,2.06,few clouds
94,2021-01-12 22:00:00,THU DAU MOT,292.15,1011,77,20,1.54,few clouds
95,2021-01-12 23:00:00,THU DAU MOT,292.15,1012,77,40,1.54,scattered clouds
96,2021-01-13 00:00:00,THU DAU MOT,293.15,1013,68,75,2.06,broken clouds
97,2021-01-13 01:00:00,THU DAU MOT,294.15,1014,68,75,0.51,broken clouds
98,2021-01-13 02:00:00,THU DAU MOT,296.15,1014,60,75,0.51,broken clouds
99,2021-01-13 03:00:00,THU DAU MOT,297.15,1014,57,75,1.03,broken clouds
100,2021-01-13 04:00:00,THU DAU MOT,298.15,1013,50,20,1.54,few clouds
101,2021-01-13 05:00:00,THU DAU MOT,300.15,1012,47,20,1.54,few clouds
102,2021-01-13 06:00:00,THU DAU MOT,301.15,1011,44,20,1.54,few clouds
103,2021-01-13 07:00:00,THU DAU MOT,301.15,1011,47,40,3.6,scattered clouds
104,2021-01-13 08:00:00,THU DAU MOT,301.15,1010,47,40,3.6,scattered clouds
105,2021-01-13 09:00:00,THU DAU MOT,301.15,1010,47,40,3.6,scattered clouds
106,2021-01-13 10:00:00,THU DAU MOT,300.15,1010,50,20,4.12,few clouds
107,2021-01-13 11:00:00,THU DAU MOT,299.15,1011,53,20,3.6,few clouds
108,2021-01-13 12:00:00,THU DAU MOT,298.15,1011,61,20,2.06,few clouds
109,2021-01-13 13:00:00,THU DAU MOT,296.15,1012,73,20,2.57,few clouds
110,2021-01-13 14:00:00,THU DAU MOT,297.15,1012,69,20,1.03,few clouds
111,2021-01-13 15:00:00,THU DAU MOT,296.15,1012,73,20,2.06,few clouds
112,2021-01-13 16:00:00,THU DAU MOT,296.15,1011,73,20,0.51,few clouds
113,2021-01-13 17:00:00,THU DAU MOT,295.15,1011,78,20,1.54,few clouds
114,2021-01-13 18:00:00,THU DAU MOT,294.15,1011,83,20,0.51,few clouds
115,2021-01-13 19:00:00,THU DAU MOT,294.15,1010,83,20,1.54,few clouds
116,2021-01-13 20:00:00,THU DAU MOT,293.15,1010,88,20,1.03,few clouds
117,2021-01-13 21:00:00,THU DAU MOT,293.15,1010,88,40,0.51,scattered clouds
118,2021-01-13 22:00:00,THU DAU MOT,292.15,1010,94,40,0.51,scattered clouds
